fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-05-31,2011-07-19,827100000,8722200000,1.85,,,1356000000.0,910600000,0.09482699318979157,,445400000.0,,
2011-05-31,2011-07-19,2514600000,11641600000,5.62,,,2426700000.0,1263200000,0.21600123694337547,,1163500000.0,,
2012-05-31,2012-07-17,1930200000,11983100000,4.42,,,2705800000.0,1639300000,0.16107684989693818,,1066500000.0,,
2013-05-31,2013-07-17,1888700000,13425400000,4.42,,,1887500000.0,1588300000,0.14068109702504208,,299200000.0,,
2013-12-31,2015-02-17,340000000,11302300000,0.8,,,,800000000,0.030082372614423612,,,,
2014-12-31,2015-02-17,1028600000,10703100000,2.68,,,,929100000,0.09610299819678411,,,,
2015-12-31,2016-02-19,1000400000,9531800000,2.78,,,2038300000.0,1000300000,0.10495394364128496,,1038000000.0,,
2016-12-31,2017-02-15,297800000,9584600000,0.85,,,1260200000.0,843100000,0.031070675875884232,,417100000.0,,
2017-12-31,2018-02-21,-107200000,9617500000,-0.31,,,935500000.0,820100000,-0.011146347803483234,,115400000.0,,
2018-12-31,2019-03-13,470000000,10397300000,1.22,,,1409800000.0,954500000,0.045204043357410094,,455300000.0,,
2019-12-31,2020-02-20,-1067400000,9185500000,-2.78,,,1095400000.0,1272200000,-0.1162048881389146,,-176800000.0,,
2020-12-31,2021-02-22,666100000,9581400000,1.75,,,1582600000.0,1170600000,0.06952011188344083,,412000000.0,,
2021-12-31,2022-02-23,1630600000,10604100000,4.27,,,2187000000.0,1288600000,0.15377071132863704,,898400000.0,,
2022-12-31,2023-02-23,3582800000,12054600000,10.06,,,3935800000.0,1247300000,0.29721434141323644,,2688500000.0,,
2023-12-31,2024-02-22,1164900000,12290200000,3.5,,,2407200000.0,1402400000,0.09478283510439212,,1004800000.0,,
2024-12-31,2025-03-03,174900000,11482400000,0.55,,,1299200000.0,1251800000,0.015232007245871943,,47400000.0,,
2025-12-31,2026-02-27,540700000,12084900000,1.7,,,824800000.0,1359400000,0.04474178520302195,,-534600000.0,,
