fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2012-03-15,-21089000,43145000,,,-0.48879360296674007,
2010-12-31,2012-03-15,-29251000,20470000,,,-1.4289692232535418,
2011-12-31,2012-03-15,-28546000,-5554000,,,5.139719121353979,
2012-12-31,2013-03-18,-38444000,-6531000,,,5.886387995712755,
2013-12-31,2014-03-13,-39796000,-18384000,,,2.164708442123586,
2014-12-31,2015-03-16,-73673000,-42654000,,,1.727223707038027,
2015-12-31,2016-03-15,-75096000,-26234000,,,2.862544789204849,
2016-12-31,2017-03-16,-66745000,-37447000,,,1.7823857718909393,
2017-12-31,2018-03-01,-53481000,-2814000,,,19.005330490405118,
2018-12-31,2019-03-01,-126757000,-100156000,,,1.2655956707536244,
2019-12-31,2020-03-02,-84486000,-109021000,-1.71,,0.7749516148265013,
2020-12-31,2021-03-01,-138061000,-120752000,-2.41,,1.1433433814760832,
2021-12-31,2022-03-01,194235000,23780000,3.12,,8.167998317914213,
2022-12-31,2023-03-13,47417000,85684000,0.76,,0.5533938658325942,
2023-12-31,2024-04-01,-117813000,-24983000,-1.88,,4.715726694152023,
2024-12-31,2025-03-31,-156815000,-182609000,-2.7,,0.858747378278179,
2025-12-31,2026-03-31,-3350000,-121231000,-0.05,,0.0276331961297028,
