fiscal_year_end,filed_date,net_income,stockholders_equity,roe
2008-12-31,2011-02-16,202778000,503247000,0.402939312107176
2009-12-31,2011-02-16,172593000,711138000,0.24269972916649088
2010-12-31,2011-02-16,232148000,771584000,0.3008719724618447
2011-12-31,2012-02-13,269493000,781137000,0.345000940936097
2012-12-31,2013-02-08,290847000,827219000,0.35159613113335164
2013-12-31,2014-02-07,306094000,935052000,0.32735505618938837
2014-12-31,2015-02-06,338241000,719595000,0.47004356617263876
2015-12-31,2016-02-04,352820000,580457000,0.6078314155915081
2016-12-31,2017-02-02,384370000,434943000,0.8837249938497688
2017-12-31,2018-02-09,375972000,547280000,0.686982897237246
2018-12-31,2019-02-08,512611000,590063000,0.8687394396869487
2019-12-31,2020-02-07,561109000,420780000,1.333497314511146
2020-12-31,2021-02-08,602739000,282675000,2.1322685062350755
2021-12-31,2022-02-11,768985000,171421000,4.4859439625250115
2022-12-31,2023-02-10,872502000,24793000,35.19146533295688
2023-12-31,2024-02-09,788778000,-149938000,-5.260694420360416
2024-12-31,2025-02-07,863140000,-126890000,-6.8022696824020805
2025-12-31,2026-02-06,869193000,-23636000,-36.77411575562701
