fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2008-12-31,2010-02-25,848600000,5650300000,3.72,,0.1501867157496062,
2009-12-31,2010-02-25,717400000,5638700000,3.32,,0.12722790714171706,
2010-12-31,2011-02-25,596900000,5771300000,2.97,,0.10342557136173826,
2011-12-31,2012-02-27,760800000,5507200000,4.03,,0.13814642649622313,
2012-12-31,2013-02-27,755000000,5860900000,4.29,,0.12881980583186883,
2013-12-31,2014-02-28,761000000,6297300000,4.43,,0.12084544169723532,
2014-12-31,2015-02-23,720100000,6520800000,4.19,,0.11043123543123542,
2015-12-31,2016-02-29,147000000,9887900000,0.77,,0.014866655204846327,
2016-12-31,2017-03-01,305900000,9668900000,1.51,,0.0316375182285472,
2017-12-31,2018-02-27,1813800000,11735800000,8.9,,0.1545527360725302,
2018-12-31,2019-02-26,-379200000,11271300000,-1.86,,-0.03364296931143701,
2019-12-31,2020-02-21,1131600000,12388100000,5.47,,0.09134572694763524,
2020-12-31,2021-02-22,-138900000,12194200000,-0.67,,-0.011390661133981728,
2021-12-31,2022-02-25,401600000,12660700000,1.91,,0.03172020504395492,
2022-12-31,2023-02-24,231400000,12020300000,1.1,,0.019250767451727494,
2023-12-31,2024-02-23,1024000000,12480500000,4.88,,0.08204799487200032,
2024-12-31,2025-02-25,903800000,12468100000,4.43,,0.07248899190734755,
2025-12-31,2026-02-20,705100000,12697700000,3.55,,0.05552974160674768,
