fiscal_year_end,filed_date,net_income,stockholders_equity,roe
2009-06-30,2010-08-25,1332600000,5322600000,0.25036636230413706
2010-06-30,2010-08-25,1211400000,5478900000,0.22110277610469256
2011-06-30,2011-08-24,1254200000,6010400000,0.2086716358312259
2012-06-30,2012-08-20,1388500000,6114000000,0.22710173372587505
2013-06-30,2013-08-19,1405800000,6189900000,0.2271119081083701
2014-06-30,2014-08-08,1515900000,6670200000,0.22726454978861205
2015-06-30,2015-08-07,1452500000,4808500000,0.30206925236560256
2016-06-30,2016-08-05,1492500000,4481600000,0.333028382720457
2017-06-30,2017-08-04,1733400000,3977000000,0.4358561729947196
2018-06-30,2018-08-03,1620800000,3459600000,0.4684934674528847
2019-06-30,2019-08-09,2292800000,5399900000,0.42460045556399195
2020-06-30,2020-08-05,2466500000,5752200000,0.4287924620145336
2021-06-30,2021-08-04,2598500000,5670100000,0.45828115906245037
2022-06-30,2022-08-03,2948900000,3225300000,0.9143025454996434
2023-06-30,2023-08-03,3412000000,3509100000,0.972329087230344
2024-06-30,2024-08-07,3752000000,4547600000,0.8250505761280675
2025-06-30,2025-08-06,4079700000,6188000000,0.6592921784098255
2026-06-30,2026-08-05,4413500000,6031200000,0.73177808727948
