fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2012-02-27,4752000,187979000,0.14,,0.025279419509626075,
2010-12-31,2012-02-27,12346000,218265000,0.36,,0.056564268206079765,
2011-12-31,2012-02-27,-159606000,64860000,-4.48,,-2.460777058279371,
2012-12-31,2013-02-20,-25463000,42662000,-0.71,,-0.5968543434438142,
2013-12-31,2014-03-07,-27953000,18171000,-0.76,,-1.5383303065323868,
2014-12-31,2015-02-27,-11799000,14902000,-0.29,,-0.7917729163870622,
2015-12-31,2016-03-09,-2602000,14026000,-0.06,,-0.18551261942107514,
2016-12-31,2017-03-10,-14512000,2504000,-1.21,,-5.795527156549521,
2017-12-31,2018-03-30,-6661000,4567000,-0.49,,-1.4585066783446463,
2018-12-31,2019-03-27,-2740000,20563000,-0.14,,-0.13324903953703254,
2019-12-31,2020-03-13,10722000,48684000,0.29,,0.22023662805028346,
2020-12-31,2021-03-08,4165000,58716000,0.1,,0.07093466857415355,
2021-12-31,2022-03-11,-31043000,100560000,-0.61,,-0.3087012728719173,
2022-12-31,2023-03-23,-29279000,76379000,-0.53,,-0.38333835216486206,
2023-12-31,2024-02-26,-24396000,75390000,-0.38,,-0.32359729407083165,
2024-12-31,2025-03-12,-48697000,40756000,-3.94,,-1.194842477181274,
2025-12-31,2026-03-05,-29327000,18390000,-1.46,,-1.5947253942359978,
