fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2011-12-31,2013-02-19,30700000,158100000,0.74,,0.1941808981657179,
2012-12-31,2013-02-19,38100000,144100000,0.91,,0.2643997224149896,
2013-12-31,2014-02-14,65100000,148800000,1.55,,0.4375,
2014-12-31,2015-02-17,102300000,169800000,2.43,,0.6024734982332155,
2015-12-31,2016-02-29,58300000,1461400000,1.09,,0.03989325304502532,
2016-12-31,2017-02-21,-187300000,5248600000,-1.8,,-0.03568570666463438,
2017-12-31,2018-02-16,54000000,6160300000,-0.31,,0.008765806860055517,
2018-12-31,2019-03-01,1600000,6079400000,-0.53,,0.0002631838668289634,
2019-12-31,2020-02-20,-209200000,4920800000,-1.44,,-0.04251341245325963,
2020-12-31,2021-02-18,-1553900000,2653900000,-7.26,,-0.585515656204077,
2021-12-31,2022-02-24,71200000,2011800000,-0.07,,0.035391191967392384,
2022-12-31,2023-02-22,1195500000,2665700000,3.88,,0.44847507221367744,
2023-12-31,2024-02-15,1345900000,2739700000,3.66,,0.49125816695258606,
2024-12-31,2025-02-20,1312000000,2592400000,5.74,,0.506094738466286,
2025-12-31,2026-02-19,1923000000,3067900000,8.49,,0.6268131295022654,
