fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2008-12-31,2011-02-24,59245000,315184000,1.58,,0.18796956698309558,
2009-12-31,2011-02-24,34265000,353841000,0.91,,0.09683728002125248,
2010-12-31,2011-02-24,43458000,376300000,1.16,,0.11548764283816104,
2011-12-31,2012-02-24,58178000,438865000,1.57,,0.1325646839005161,
2012-12-31,2013-02-25,67953000,500897000,1.83,,0.13566262125746412,
2013-12-31,2014-02-24,69110000,561527000,1.87,,0.12307511482083676,
2014-12-31,2015-02-27,51558000,600784000,1.4,,0.08581786465684839,
2015-12-31,2016-02-26,70949000,647840000,1.97,,0.10951623857742653,
2016-12-31,2017-02-24,74805000,628179000,2.2,,0.11908229979034639,
2017-12-31,2018-02-28,135153000,769872000,4.05,,0.17555255938649542,
2018-12-31,2019-03-01,201740000,980834000,6.01,,0.20568210318973446,
2019-12-31,2020-02-28,107171000,1075279000,3.2,,0.09966808614322423,
2020-12-31,2021-02-26,73559000,1157923000,2.19,,0.06352667664430191,
2021-12-31,2022-02-25,171474000,1340314000,5.06,,0.1279356926809688,
2022-12-31,2023-02-24,356948000,1599602000,10.64,,0.22314800806700666,
2023-12-31,2024-02-27,167528000,1634645000,2.62,,0.10248586084440353,
2024-12-31,2025-02-25,103993000,1644997000,1.7,,0.0632177444700507,
