fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2007-12-29,2010-02-22,6976000000,43220000000,1.18,,0.16140675613142064,
2008-12-27,2010-02-22,5292000000,39546000000,0.92,,0.1338188438780155,
2009-12-26,2010-02-22,4369000000,41704000000,0.77,,0.10476213312871667,
2010-12-25,2011-02-18,11464000000,49430000000,2.01,,0.23192393283431115,
2011-12-31,2012-02-23,12942000000,45911000000,2.39,,0.2818932282023916,
2012-12-29,2013-02-19,11005000000,51203000000,2.13,,0.21492881276487705,
2013-12-28,2014-02-14,9620000000,58256000000,1.89,,0.16513320516341665,
2014-12-27,2015-02-13,11704000000,55865000000,2.31,,0.20950505683343776,
2015-12-26,2016-02-12,11420000000,61085000000,2.33,,0.18695260702300073,
2016-12-31,2017-02-17,10316000000,66226000000,2.12,,0.15576963730256999,
2017-12-30,2018-02-16,9601000000,69019000000,1.99,,0.13910662281400774,
2018-12-29,2019-02-01,21053000000,74563000000,4.48,,0.28235183670184943,
2019-12-28,2020-01-24,21048000000,77504000000,4.71,,0.27157308009909165,
2020-12-26,2021-01-22,20899000000,81038000000,4.94,,0.2578913596090723,
2021-12-25,2022-01-27,19868000000,95391000000,4.86,,0.2082796070908157,
2022-12-31,2023-01-27,8014000000,101423000000,1.94,,0.07901560789958885,
2023-12-30,2024-01-26,1689000000,105590000000,0.4,,0.01599583293872526,
2024-12-28,2025-01-31,-18756000000,99270000000,-4.38,,-0.18893925657298277,
2025-12-27,2026-01-23,-267000000,114281000000,-0.06,,-0.002336346374287939,
