fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2012-03-12,2759000,158130000,0.1,,0.0174476696389047,
2010-12-31,2012-03-12,4254000,163823000,0.16,,0.02596704980375161,
2011-12-31,2012-03-12,3025000,169141000,0.11,,0.01788448690737314,
2012-12-31,2013-03-08,-3119000,168594000,-0.11,,-0.018500065245501025,
2013-12-31,2014-03-03,-16504000,157950000,-0.58,,-0.10448876226654004,
2014-12-31,2015-02-27,-24126000,141174000,-0.83,,-0.17089549067108675,
2015-12-31,2016-02-26,-14284000,135746000,-0.5,,-0.10522593667585048,
2016-12-31,2017-03-01,-28017000,116918000,-0.97,,-0.23962948391180144,
2017-12-31,2018-03-02,-44168000,80433000,-1.5,,-0.5491278455360362,
2018-12-31,2019-03-01,-53596000,35265000,-1.8,,-1.5198071742520913,
2019-12-31,2020-03-31,-36030000,14379000,-1.19,,-2.5057375339036096,
2020-12-31,2021-03-31,-295368000,-279265000,-144.08,,1.0576620772384653,
2021-12-31,2022-04-15,125607000,-46810000,37.92,,-2.6833368938261057,
2022-12-31,2023-03-30,-54401000,-101714000,-9.27,,0.5348427945022317,
2023-12-31,2024-03-27,-21107000,-115091000,-3.85,,0.1833940099573381,
2024-12-31,2025-03-17,-2059000,71785000,-0.54,,-0.0286828724663927,
2025-12-31,2026-03-12,-70779000,-11000,-4.22,,6434.454545454545,
