fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2008-12-31,2011-02-22,62087947,698596322,0.44,,,120632220,,0.08887528468837258,,,,
2009-12-31,2011-02-22,64637085,735928743,0.47,,,110654296,,0.08783062981955034,,,,
2010-12-31,2011-02-22,137733969,893530826,0.98,,,128133686,,0.15414573844819987,,,,
2011-12-31,2012-02-22,164668228,1027118521,1.14,,,141668665,,0.16032057122256876,,,,
2012-12-31,2013-02-20,168586840,1120960556,1.17,,144730779.0,257846054,,0.1503949796427984,,,,0.12911317728828275
2013-12-31,2014-02-26,222929949,1327603683,1.55,,436484751.0,317338830,,0.16791904982987307,,,,0.3287763935798
2014-12-31,2015-02-23,288604579,1571412445,0.98,,451127584.0,327223109,,0.1836593441259147,,,,0.28708413595388066
2015-12-31,2016-02-23,318469859,1722516761,1.08,,426156167.0,351578425,,0.18488636291417776,,,,0.2474032048039967
2016-12-31,2017-02-22,347591276,1910424234,1.19,,399195599.0,471464794,,0.18194454918121605,,,,0.20895651965436698
2017-12-31,2018-02-21,406791922,2049518261,1.41,,302535651.0,501002780,,0.19848172604303524,,,,0.1476130546172284
2018-12-31,2019-02-22,437883097,1861751660,1.62,,223682408.0,552418646,,0.23519952011215073,,,,0.12014621112248666
2019-12-31,2020-02-26,424683939,1938087820,1.66,,230715373.0,505966864,,0.21912522983607627,,,,0.11904278568759594
2020-12-31,2021-02-22,347563621,1963943128,1.41,,233998042.0,464491771,,0.17697234509735763,,,,0.11914705607503721
2021-12-31,2022-02-23,360797232,1937988467,1.5,,193402699.0,362167562,,0.18617099025285375,,,,0.09979558820563404
2022-12-31,2023-02-22,318757352,2065792821,1.36,,261437103.0,338200529,,0.15430267196189468,,,,0.12655533524094864
2023-12-31,2024-02-22,428403272,2312517069,1.84,,298920483.0,537249592,,0.18525410157740116,,,,0.1292619574606046
2024-12-31,2026-02-24,404487743,2467950655,1.76,,288721320.0,498213220,,0.1638962035892083,,,,0.11698828719085552
2025-12-31,2026-02-24,384841367,2487829724,1.74,,437660897.0,587126291,,0.1546895928155572,,,,0.17592076048368654
