fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-30,2012-02-24,29200000,-410800000,0.62,,1172900000,143700000.0,10100000,-0.07108081791626096,,133600000.0,,
2011-12-29,2012-02-24,31500000,-427900000,0.58,,1167000000,161800000.0,13500000,-0.07361533068473942,,148300000.0,,
2012-12-27,2013-02-22,13400000,-439100000,0.24,,1166900000,81600000.0,10400000,-0.030516966522432246,,71200000.0,,
2013-12-26,2014-02-21,41200000,-354300000,0.73,,1213400000,,10100000,-0.11628563364380469,,,,
2015-01-01,2015-02-27,13400000,-408200000,0.23,,1200100000,,8700000,-0.03282704556589907,,,,
2015-12-31,2016-02-26,15400000,-407000000,0.26,,1256000000,,12600000,-0.03783783783783784,,,,
2016-12-29,2017-02-24,25400000,-422700000,0.42,,1238600000,,12900000,-0.06008989827300686,,,,
2017-12-28,2018-03-19,2500000,-288900000,0.02,,1149300000,,11600000,-0.008653513326410523,,,,
2018-12-27,2019-02-22,29800000,-368000000,0.37,,1231000000,,14200000,-0.08097826086956522,,,,
2019-12-26,2020-02-20,36100000,-379500000,0.46,,1251200000,,14000000,-0.09512516469038208,,,,
2020-12-31,2021-03-09,-65400000,-473100000,-0.84,,1154800000,,8000000,0.13823715916296767,,,,
2021-12-30,2022-03-03,-48700000,-526700000,-0.61,,1200900000,,5700000,0.09246250237326752,,,,
2022-12-29,2023-04-13,-28700000,-515300000,-0.35,,1256400000,,2900000,0.055695711236173104,,,,
2023-12-28,2024-03-18,705200000,434500000,14.34,,133200000,-6700000.0,3300000,1.6230149597238206,,-10000000.0,,0.3065592635212888
2024-12-26,2025-03-06,-22300000,411200000,-0.23,,157400000,60300000.0,5800000,-0.05423151750972763,,54500000.0,,0.38278210116731515
2026-01-01,2026-02-26,-10600000,375400000,-0.11,,115200000,8400000.0,5600000,-0.02823654768247203,,2800000.0,,0.30687266915290357
