fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2008-06-28,2010-08-31,1106151000,3408986000,1.81,,0.3244809453602919,
2009-06-27,2010-08-31,1055948000,3449702000,1.77,,0.30609832385521996,
2010-07-03,2010-08-31,1179983000,3827526000,1.99,,0.30828869614471593,
2011-07-02,2011-08-30,1152030000,4705242000,1.96,,0.24483969156102917,
2020-06-27,2022-08-26,215475000,1158613000,0.42,,0.18597668073808943,
2021-07-03,2022-08-26,524209000,1552896000,1.02,,0.33756864593636665,
2022-07-02,2022-08-26,1358768000,1382260000,2.64,,0.9830046445675922,
2023-07-01,2023-08-25,1770124000,2008622000,3.47,,0.8812628757426734,
2024-06-29,2024-08-28,1955000000,1860000000,3.89,,1.0510752688172043,
2025-06-28,2025-08-22,1828000000,1830000000,3.73,,0.9989071038251366,
2026-06-27,2026-08-21,1757000000,2666000000,3.66,,0.659039759939985,
