fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2008-12-31,2010-02-26,301014000,1366418000,1.37,,0.22029422914510788,
2009-12-31,2010-02-26,240217000,1553007000,1.11,,0.1546786331291488,
2010-12-31,2011-02-28,344172000,1740906000,1.59,,0.19769706118538277,
2011-12-31,2012-02-28,385679000,2003638000,1.79,,0.1924893618507934,
2012-12-31,2013-02-27,333360000,2027699000,1.57,,0.16440309927656915,
2013-12-31,2014-02-27,348526000,2084783000,1.68,,0.16717615214629053,
2014-12-31,2015-02-26,376888000,1868408000,1.92,,0.20171611339707388,
2015-12-31,2016-02-25,457223000,1691993000,2.4,,0.270227477300438,
2016-12-31,2017-02-23,430807000,1844638000,2.36,,0.2335455520270102,
2017-12-31,2018-02-23,489345000,1991858000,2.69,,0.2456726332901241,
2018-12-31,2019-02-22,618199000,1986838000,3.48,,0.31114715945638244,
2019-12-31,2020-02-21,590395000,2195028000,3.39,,0.26896923410544193,
2020-12-31,2021-02-19,696140000,2659637000,4.07,,0.2617424859106713,
2021-12-31,2022-03-15,1415492000,3494426000,8.27,,0.4050713908378658,
2022-12-31,2023-03-01,1357399000,3110021000,8.26,,0.43645975380873636,
2023-12-31,2024-02-23,752883000,2390350000,5.01,,0.31496768255694774,
2024-12-31,2025-02-21,810073000,2223012000,5.72,,0.3644033410525899,
2025-12-31,2026-02-25,810332000,2355633000,5.95,,0.3439975581934877,
